,OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,CATEGORY_ID,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
0,Spend $50 on a Full-Priced new Club Membership,SAMS CLUB,SAMS CLUB,,,,,
1,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Plant-Based Meat,1584,,,
2,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Frozen Plant-Based Meat,313,,,
3,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Packaged Meat,30,,,
4,Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,Frozen Desserts,1052,,,
5,Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,Dips & Salsa,596,,,
6,"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,Nut Butters & Jam,2107,,,
7,"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,Frozen Turkey,388,,,
8,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Sports Drinks,34829,,,
9,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Medicines & Treatments,25275,,,
10,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Meal Replacement Beverages,289,,,
11,Emmy's Organics® Cookies OR Brownie Snaps,,EMMYS POP UP,Cookies,38,,,
12,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,Carbonated Soft Drinks,77880,,,
13,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,Cooking & Baking,10983,,,
14,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Bread,8390,,,
15,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Prepared Meals,86,,,
16,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Bakery,20,,,
17,Barilla® Pesto Sauce,,BARILLA,Dry Pasta,25852,,,
18,Barilla® Pesto Sauce,,BARILLA,Chips,5816,,,
19,Barilla® Pesto Sauce,,BARILLA,Red Pasta Sauce,581,,,
20,Barilla® Pesto Sauce,,BARILLA,Pesto Sauce,525,,,
21,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cheese,1489,,,
22,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Crackers,961,,,
23,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Fruit & Vegetable Snacks,228,,,
24,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Dressings,208,,,
25,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,106,,,
26,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Refrigerated Doughs,92,,,
27,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Packaged Vegetables,56,,,
28,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Frozen Meals,52,,,
29,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Chips,48,,,
30,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Frozen Pizza & Pizza Snacks,38,,,
31,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries",32,,,
32,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Bread,20,,,
33,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Frozen Breakfast,18,,,
34,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cookies,15,,,
35,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Soup & Broth,14,,,
36,Egglife Egg White Wraps at Aldi,ALDI,EGGLIFE,Eggs,27,,,
37,Spend $20 at Zaxby's,ZAXBYS,ZAXBYS,,,,,
38,Spend $10 at Subway,SUBWAY,SUBWAY,Cooking & Baking,762,,,
39,"DOVE® Chocolate, select sizes, buy 1",,DOVE CHOCOLATE,Candy,3730,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
40,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,HELLMANNS BEST FOODS,Condiments,7427,,,
41,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,HELLMANNS BEST FOODS,Sauces & Marinades,49,,,
42,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,HELLMANNS BEST FOODS,Dressings,12,,,
43,"M&M'S®, select sizes, buy 1",,M&MS,Candy,37241,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
44,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,GATORADE,Sports Drinks,34829,,,
45,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,GATORADE,Medicines & Treatments,25275,,,
46,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,GATORADE,Meal Replacement Beverages,289,,,
47,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Plant-Based Meat,1584,,,
48,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Frozen Plant-Based Meat,313,,,
49,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Packaged Meat,30,,,
50,Red Gold Tomato Ketchup,,RED GOLD,Cooking & Baking,515,,,
51,Red Gold Tomato Ketchup,,RED GOLD,Sauces & Marinades,323,,,
52,Red Gold Tomato Ketchup,,RED GOLD,Condiments,106,,,
53,Red Gold Tomato Ketchup,,RED GOLD,Dips & Salsa,68,,,
54,Red Gold Tomato Ketchup,,RED GOLD,Drink Mixes,14,,,
55,Gillette Venus ® for Pubic Hair & Skin spend $20,,GILLETTE VENUS,Hair Removal,12805,,,
56,Spend $140 at Shaws,SHAWS,SHAWS,Cooking & Baking,28,,,
57,"L'Oréal Paris Hair color, select varieties, spend $19 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care,542,,,
58,Simply Spiked™ Lemonade 12 pack+,,SIMPLY SPIKED,Malt Beverages,2017,,,
59,Simply Spiked™ Lemonade 12 pack+,,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",661,,,
60,"Gorton's, at select retailers",SHOP RITE,GORTONS,Frozen Seafood,122,,,
61,"Gorton's, at select retailers",SHOP RITE,GORTONS,Jerky & Dried Meat,14,,,
62,"Gorton's, at select retailers",SHOP RITE,GORTONS,Frozen Meals,13,,,
63,Shop 2 times at ACME,ACME,ACME,Medicines & Treatments,449,,,
64,"Butterball, select varieties, spend $10 at Ralphs",RALPHS,BUTTERBALL,Nut Butters & Jam,2107,,,
65,"Butterball, select varieties, spend $10 at Ralphs",RALPHS,BUTTERBALL,Frozen Turkey,388,,,
66,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Plant-Based Meat,1584,,,
67,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Frozen Plant-Based Meat,313,,,
68,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,Packaged Meat,30,,,
69,"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,BUTTERBALL,Nut Butters & Jam,2107,,,
70,"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,BUTTERBALL,Frozen Turkey,388,,,
71,Spend $20 at KFC,KFC,KFC,,,,,
72,Spend $15 at Nekter,NEKTER JUICE BAR,NEKTER,,,,,
73,Order online at Zaxbys.com,ZAXBYS,ZAXBYS,,,,,
74,"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,BUTTERBALL,Nut Butters & Jam,2107,,,
75,"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,BUTTERBALL,Frozen Turkey,388,,,
76,Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
77,Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
78,"Tru-Ray® Premium Construction Paper, spend $10",,TRURAY,,,,,
79,"Flonase Allergy Relief, at Walmart",WALMART,FLONASE,Medicines & Treatments,32,,,
80,Spend $25 at KFC,KFC,KFC,,,,,
81,"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,Frozen Seafood,122,,,
82,"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,Jerky & Dried Meat,14,,,
83,"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,Frozen Meals,13,,,
84,"CESAR® Wet Dog Food, spend $20",,CESAR,Cooking & Baking,2454,,,
85,"CESAR® Wet Dog Food, spend $20",,CESAR,Sauces & Marinades,379,,,
86,"CESAR® Wet Dog Food, spend $20",,CESAR,Dog Supplies,234,,,
87,"CESAR® Wet Dog Food, spend $20",,CESAR,Frozen Chicken,95,,,
88,"TWIX®, select sizes",,TWIX,Candy,16006,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
89,"TWIX®, select sizes",,TWIX,Cookies,121,,,
90,"M&M'S® chocolate candies, select varieties",,M&MS,Candy,37241,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
91,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,HIDDEN VALLEY RANCH,Dips & Salsa,10661,,,
92,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,HIDDEN VALLEY RANCH,Sauces & Marinades,1537,,,
93,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,HIDDEN VALLEY RANCH,Cooking & Baking,237,,,
94,Spend $210 at Randalls,RANDALLS,RANDALLS,,,,,
95,"Cooked Perfect® Meatballs, at Walmart",WALMART,COOKED PERFECT,Frozen Chicken,253,,,
96,Spend $25 at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
97,Spend $25 at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
98,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments,171,,,
99,"Perfect Keto Barista Blend Collagen & MCTs, online at Amazon",AMAZON,PERFECT KETO,Nuts & Seeds,26,,,
100,"Creativity Street®, spend $10",,CREATIVITY STREET,,,,,
101,"Crunchmaster® Crackers, spend $4",,CRUNCHMASTER,Crackers,418,,,
102,"Crunchmaster® Crackers, spend $4",,CRUNCHMASTER,Candy,60,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
103,"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,BALL PARK FRANK,Packaged Meat,3186,,,
104,"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,BALL PARK FRANK,Frozen Beef,20,,,
105,"L'Oréal Paris Makeup, spend $35 at Target",TARGET,LOREAL PARIS COSMETICS,Makeup,2124,,,
106,Spend $25 at Subway,SUBWAY,SUBWAY,Cooking & Baking,762,,,
107,Any Vons receipt,VONS,VONS,Spirits,39,2e390809-d293-43d2-bfa3-56b06d24b3e1,Rum,Spirits
108,Any Vons receipt,VONS,VONS,Spirits,39,79e71bb6-c6f8-4782-9e2c-aa535c8d06d7,Vodka,Spirits
109,"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,Cooking & Baking,450,,,
110,"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,Dips & Salsa,173,,,
111,"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,Dressings,44,,,
112,"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,Condiments,18,,,
113,"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,Hair Care,542,,,
114,Spend $185 at Shaws,SHAWS,SHAWS,Cooking & Baking,28,,,
115,Spend $150 at Vons,VONS,VONS,Spirits,39,2e390809-d293-43d2-bfa3-56b06d24b3e1,Rum,Spirits
116,Spend $150 at Vons,VONS,VONS,Spirits,39,79e71bb6-c6f8-4782-9e2c-aa535c8d06d7,Vodka,Spirits
117,"Wine from TheBarrelRoom.com, spend $30",GALLO.COM,ALAMOS,Wine,189,,,
118,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Cheese,1489,,,
119,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Crackers,961,,,
120,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Fruit & Vegetable Snacks,228,,,
121,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Dressings,208,,,
122,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,106,,,
123,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Refrigerated Doughs,92,,,
124,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Packaged Vegetables,56,,,
125,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Frozen Meals,52,,,
126,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Chips,48,,,
127,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Frozen Pizza & Pizza Snacks,38,,,
128,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries",32,,,
129,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Bread,20,,,
130,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Frozen Breakfast,18,,,
131,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Cookies,15,,,
132,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Soup & Broth,14,,,
133,"PepsiCo® Beverage, 7.5-ounce 10 pack, select varieties, at Amazon Storefront*",AMAZON,PEPSI,Carbonated Soft Drinks,53604,,,
134,"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,Bread,18136,,,
135,"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,Cheese,1028,,,
136,"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,Bakery,916,,,
137,"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,"Cereal, Granola, & Toaster Pastries",28,,,
138,"Sara Lee® bread, select varieties, buy 2 at Walmart®",WALMART,SARA LEE,Frozen Desserts,26,,,
139,"Sara Lee® or Alfaros® Artesano bread, buy 5",,ALFAROS,Bakery,783,,,
140,"Sara Lee® or Alfaros® Artesano bread, buy 5",,ALFAROS,Bread,583,,,
141,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,Fruit Juices,4685,,,
142,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,Water,2367,,,
143,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,Drink Mixes,784,,,
144,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,Tea,52,,,
145,Spend $5 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
146,Spend $5 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
147,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,KLONDIKE,Frozen Desserts,5709,,,
148,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,KLONDIKE,Frozen Meals,1153,,,
149,Spend $25 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,,,,,
150,Any Albertsons receipt,ALBERTSONS,ALBERTSONS,Candy,150,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
151,Shop 2 times at Albertsons,ALBERTSONS,ALBERTSONS,Candy,150,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
152,Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
153,Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
154,QUEEN V® The VIP & The Wingwoman Soft Touch Silicone Vibrator at Walmart,WALMART,QUEEN V,,,,,
155,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides,146,,,
156,"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,Bath & Body,15821,,,
157,"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,Deodorant & Antiperspirant,4648,,,
158,"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,Hair Care,1635,,,
159,"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,Makeup,13,,,
160,"Frutero Ice Cream, 1 pint",,FRUTERO,Frozen Desserts,46,,,
161,"Frutero Ice Cream, 1 pint",,FRUTERO,Frozen Fruits,20,,,
162,Red Gold Tomato Juice,,RED GOLD,Cooking & Baking,515,,,
163,Red Gold Tomato Juice,,RED GOLD,Sauces & Marinades,323,,,
164,Red Gold Tomato Juice,,RED GOLD,Condiments,106,,,
165,Red Gold Tomato Juice,,RED GOLD,Dips & Salsa,68,,,
166,Red Gold Tomato Juice,,RED GOLD,Drink Mixes,14,,,
167,"Bio-Oil® Skincare Oil OR Gel, select varieties",,BIO OIL,Skin Care,61,,,
168,"Bio-Oil® Skincare Oil OR Gel, select varieties",,BIO OIL,Cooking & Baking,41,,,
169,Spend $65 at Albertsons,ALBERTSONS,ALBERTSONS,Candy,150,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
170,"Welch's®Fruit Snacks, select varieties, buy 2",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
171,Talenti Mini Bars,,TALENTI,Frozen Desserts,5076,,,
172,Talenti Mini Bars,,TALENTI,Frozen Meals,1232,,,
173,Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
174,Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
175,"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",,SIMPLY SPIKED,Malt Beverages,2017,,,
176,"Simply Spiked™ Signature Peach 12-pack or larger, buy 2",,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",661,,,
177,"Molson Coors®, select varieties, 12 pack+",,COORS LIGHT,Beer,31672,,,
178,"Molson Coors®, select varieties, 12 pack+",,COORS LIGHT,Makeup,4379,,,
179,"Welch's® Zero Sugar Fruity Bites, 6 pack+, online at Amazon",AMAZON,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
180,"PepsiCo® Variety Pack, select varieties, at Amazon Storefront*",AMAZON,PEPSI,Carbonated Soft Drinks,53604,,,
181,Spend $100 at Vons,VONS,VONS,Spirits,39,2e390809-d293-43d2-bfa3-56b06d24b3e1,Rum,Spirits
182,Spend $100 at Vons,VONS,VONS,Spirits,39,79e71bb6-c6f8-4782-9e2c-aa535c8d06d7,Vodka,Spirits
183,Spend $15 at Subway,SUBWAY,SUBWAY,Cooking & Baking,762,,,
184,Spend $35 at Fresh Thyme Market,FRESH THYME,FRESH THYME MARKET,,,,,
185,Sign up for The Club Card or The Club+ Card full-priced membership* (New Members Only),BJS WHOLESALE,BJS WHOLESALE,Cooking & Baking,76,,,
186,"Marinela® sweet baked goods, buy 2",,MARINELA,Cookies,3186,,,
187,"Marinela® sweet baked goods, buy 2",,MARINELA,Snack Cakes,3132,,,
188,"Marinela® sweet baked goods, buy 2",,MARINELA,Candy,254,c99c5725-4d9b-404a-8438-5cf1dc4f12c3,Gum,Candy
189,"Back to the Roots Soils, select varieties and sizes, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,146,,,
190,"Any General Mills™ products, spend $60",,ANNIES HOMEGROWN,,,,,
191,"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,,,
192,Spend $90 at Tom Thumb,TOM THUMB,TOM THUMB,,,,,
193,Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
194,Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
195,"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",1385,,,
196,"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,VIZZY,Malt Beverages,857,,,
197,"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",WALMART,COOKED PERFECT,Frozen Chicken,253,,,
198,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,58,,,
199,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,42,,,
200,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Cheese,1489,,,
201,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Crackers,961,,,
202,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Fruit & Vegetable Snacks,228,,,
203,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Dressings,208,,,
204,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,106,,,
205,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Refrigerated Doughs,92,,,
206,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Packaged Vegetables,56,,,
207,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Frozen Meals,52,,,
